mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Posterior_Covered,39,vertebrae_T4,25.35,18.01,7.34
Posterior_Covered,40,vertebrae_T3,26.5,18.01,8.49
Posterior_Covered,41,vertebrae_T2,27.1,17.89,9.21
Posterior_Covered,42,vertebrae_T1,27.32,17.68,9.64
Posterior_Covered,43,vertebrae_C7,27.87,18.83,9.04
Posterior_Covered,44,vertebrae_C6,28.88,19.74,9.14
Posterior_Covered,51,aorta,24.78,18.45,6.33
Posterior_Covered,52,pulmonary_vein,32.7,22.09,10.61
Posterior_Covered,53,brachiocephalic_trunk,29.23,19.3,9.93
Posterior_Covered,54,subclavian_artery_right,28.26,19.65,8.61
Posterior_Covered,55,subclavian_artery_left,29.57,20.52,9.06
Posterior_Covered,56,common_carotid_artery_right,30.04,20.91,9.13
Posterior_Covered,57,common_carotid_artery_left,28.81,20.35,8.46
Posterior_Covered,59,brachiocephalic_vein_right,28.49,18.43,10.06
Posterior_Covered,60,atrial_appendage_left,34.93,23.52,11.41
Posterior_Covered,61,superior_vena_cava,29.24,19.31,9.93
Posterior_Covered,62,inferior_vena_cava,29.29,22.53,6.77
Posterior_Covered,63,portal_vein_and_splenic_vein,37.19,28.19,9.0
Posterior_Covered,64,iliac_artery_left,29.61,22.65,6.96
Posterior_Covered,65,iliac_artery_right,28.23,21.15,7.08
Posterior_Covered,66,iliac_vena_left,29.4,21.4,8.0
Posterior_Covered,67,iliac_vena_right,27.79,19.85,7.94
Posterior_Covered,68,humerus_left,39.04,32.43,6.61
Posterior_Covered,69,humerus_right,37.17,31.36,5.81
Posterior_Covered,70,scapula_left,27.72,21.06,6.66
Posterior_Covered,71,scapula_right,28.44,20.06,8.38
Posterior_Covered,72,clavicula_left,31.85,23.77,8.08
Posterior_Covered,73,clavicula_right,30.99,23.88,7.11
Posterior_Covered,74,femur_left,27.52,24.72,2.8
Posterior_Covered,75,femur_right,26.86,23.83,3.03
Posterior_Covered,76,hip_left,28.95,21.03,7.92
Posterior_Covered,77,hip_right,28.09,20.33,7.76
Posterior_Covered,78,spinal_cord,23.0,19.72,3.28
Posterior_Covered,79,gluteus_maximus_left,30.33,23.7,6.63
Posterior_Covered,80,gluteus_maximus_right,29.47,22.52,6.95
Posterior_Covered,81,gluteus_medius_left,32.48,24.32,8.16
Posterior_Covered,82,gluteus_medius_right,30.71,22.66,8.06
Posterior_Covered,83,gluteus_minimus_left,30.77,23.38,7.39
Posterior_Covered,84,gluteus_minimus_right,29.17,21.8,7.37
